"term","estimate","std_error","t_value","p_value","significance"
"(Intercept)","7.6561e+01","2.4151e+00","3.1701e+01","8.4627e-95","***"
"history","1.9849e+01","4.3079e+00","4.6077e+00","6.1815e-06","***"
"rbr_w_offset","5.3467e+00","1.8105e+00","2.9531e+00","3.4120e-03","**"
"mean_temperature","1.3246e+00","1.8166e+00","7.2918e-01","4.6650e-01",""
"sum_precipitation_mm","-1.2706e+00","1.7665e+00","-7.1930e-01","4.7255e-01",""
"Cumulative_Years_Defol:Time_Since_Defol","7.6446e-02","1.1135e-01","6.8652e-01","4.9295e-01",""
"fire_area","-9.6331e-01","1.7258e+00","-5.5817e-01","5.7717e-01",""
"host_pct","-1.0314e+00","1.8722e+00","-5.5089e-01","5.8215e-01",""
"mean_tri","-9.6470e-01","2.0674e+00","-4.6663e-01","6.4112e-01",""
