"Model","Treatment_Effect","SE","CI_Lower","CI_Upper","P_Value","Fires"
"Severity",47.5213563660509,16.5837260077334,15.0178506614132,80.0248620706886,0.00416296603451383,"all"
"Recovery",19.8494968311689,4.68934028067765,10.6585587697878,29.04043489255,0.0000230699647604484,"all"
