"Model","Treatment_Effect","SE","CI_Lower","CI_Upper","P_Value","Fires"
"Severity",64.9801494652447,13.1764040567951,39.1548720681789,90.8054268623106,8.15779665506882e-07,"all"
"Recovery",21.796229781896,3.34034177967899,15.2492801976707,28.3431793661212,6.79337012350827e-11,"all"
