"Model","Treatment_Effect","SE","CI_Lower","CI_Upper","P_Value","Fires"
"Severity",-50.0436930457859,22.3804795337299,-93.9086268886323,-6.17875920293957,0.0253490176825626,"all"
"Recovery",6.55737532262477,4.43309454246514,-2.13133032066797,15.2460809659175,0.139090372826445,"all"
