"term","estimate","std_error","t_value","p_value","significance"
"(Intercept)","-1.3904e+02","1.6592e+03","-8.3801e-02","9.3372e-01",""
"history","6.0652e+01","4.2633e+01","1.4227e+00","1.6422e-01",""
"mean_tri","-9.2140e+01","8.0354e+01","-1.1467e+00","2.5976e-01",""
"host_pct","-9.2027e-01","1.6292e+00","-5.6486e-01","5.7599e-01",""
"isi_90","-6.0654e+00","1.2347e+01","-4.9124e-01","6.2651e-01",""
"ffmc_90","6.5560e+00","1.8992e+01","3.4520e-01","7.3213e-01",""
"fwi_90","-7.1604e-01","6.6730e+00","-1.0730e-01","9.1520e-01",""
