"term","estimate","std_error","t_value","p_value","significance"
"(Intercept)","3.8143e+02","5.8337e+02","6.5384e-01","5.1670e-01",""
"host_pct","-1.8809e+00","6.8687e-01","-2.7383e+00","8.9485e-03","**"
"mean_tri","-2.6280e+01","4.4461e+01","-5.9108e-01","5.5756e-01",""
"history","1.3918e+01","2.9992e+01","4.6407e-01","6.4494e-01",""
"ffmc_90","1.5349e-01","6.1075e+00","2.5132e-02","9.8007e-01",""
