"Response","Subgroup","Estimate","Std_Error","Conf_Low","Conf_High","P_Value","term","contrast","statistic","s.value","predicted_lo","predicted_hi","predicted","Model"
"Severity","3-9 years",14.0398012023153,24.3066589047779,-33.6003748355491,61.6799772401798,0.563526566285356,"history","1 - 0",0.577611314550333,0.827444470036096,223.779198215112,237.818999417428,237.818999417428,"3-9 years"
"Recovery","3-9 years",18.5043309706497,6.07564120006187,6.5962930355407,30.4123689057586,0.00232171026829111,"history","1 - 0",3.04565894550541,8.75059633854809,80.492323363105,98.9966543337547,98.9966543337547,"3-9 years"
