"term","estimate","std_error","t_value","p_value","significance"
"(Intercept)","1.9375e+02","1.5362e+02","1.2613e+00","2.1727e-01",""
"mean_temperature","-9.2584e+00","4.9076e+00","-1.8865e+00","6.9270e-02",""
"sum_precipitation_mm","2.1752e-02","1.3889e-02","1.5661e+00","1.2816e-01",""
"history","9.0153e+00","8.6842e+00","1.0381e+00","3.0779e-01",""
"mean_tri","-2.3029e+01","2.3674e+01","-9.7278e-01","3.3871e-01",""
"rbr_w_offset","-2.0746e-02","4.7181e-02","-4.3972e-01","6.6340e-01",""
"host_pct","-1.2526e-01","5.3350e-01","-2.3479e-01","8.1602e-01",""
