"Model_Type","Mean_Marginal_R2","Median_Marginal_R2","Min_Marginal_R2","Max_Marginal_R2","Mean_Conditional_R2","Median_Conditional_R2","Min_Conditional_R2","Max_Conditional_R2"
"Recovery",0.218025,0.20875,0.1714,0.2832,0.218025,0.20875,0.1714,0.2832
"Severity",0.15175,0.16385,0.1055,0.1738,0.15175,0.16385,0.1055,0.1738
