"term","estimate","std_error","t_value","p_value","significance"
"(Intercept)","1.0132e+03","8.1235e+02","1.2473e+00","2.1543e-01",""
"history","9.8571e+01","2.5068e+01","3.9322e+00","1.6193e-04","***"
"fwi_90","8.8512e+00","4.3103e+00","2.0535e+00","4.2835e-02","*"
"ffmc_90","-1.0357e+01","9.7547e+00","-1.0617e+00","2.9111e-01",""
"host_pct","-4.1701e-01","4.9709e-01","-8.3890e-01","4.0367e-01",""
"isi_90","-4.6796e+00","1.0477e+01","-4.4665e-01","6.5616e-01",""
"mean_tri","6.5345e+00","2.6184e+01","2.4956e-01","8.0347e-01",""
