"term","estimate","std_error","t_value","p_value","significance"
"(Intercept)","7.7730e+02","3.4029e+02","2.2842e+00","2.3628e-02","*"
"history","7.4005e+01","1.6808e+01","4.4030e+00","1.9065e-05","***"
"host_pct","-1.1313e+00","3.9573e-01","-2.8587e+00","4.7995e-03","**"
"mean_tri","-3.6325e+01","1.5636e+01","-2.3231e+00","2.1384e-02","*"
"isi_90","7.3295e+00","4.1605e+00","1.7617e+00","7.9962e-02",""
"ffmc_90","-5.6908e+00","3.9932e+00","-1.4251e+00","1.5600e-01",""
