"term","estimate","std_error","t_value","p_value","significance"
"(Intercept)","7.9920e+01","8.1233e+01","9.8383e-01","3.2668e-01",""
"history","2.5240e+01","4.6332e+00","5.4475e+00","1.8802e-07","***"
"rbr_w_offset","2.5305e-02","2.1823e-02","1.1596e+00","2.4794e-01",""
"mean_tri","-4.0187e+00","4.7827e+00","-8.4026e-01","4.0201e-01",""
"host_pct","-7.7497e-02","1.0970e-01","-7.0646e-01","4.8092e-01",""
"sum_precipitation_mm","-1.8358e-03","5.5139e-03","-3.3295e-01","7.3961e-01",""
"mean_temperature","3.4264e-01","3.7081e+00","9.2403e-02","9.2649e-01",""
