"term","estimate","std_error","t_value","p_value","significance"
"(Intercept)","4.6040e+01","7.4007e+01","6.2210e-01","5.3593e-01",""
"history","2.2485e+01","4.8359e+00","4.6497e+00","1.5509e-05","***"
"rbr_w_offset","4.1068e-02","2.5474e-02","1.6121e+00","1.1149e-01",""
"mean_tri","5.5534e+00","5.5181e+00","1.0064e+00","3.1774e-01",""
"host_pct","5.5167e-02","1.1351e-01","4.8599e-01","6.2851e-01",""
"sum_precipitation_mm","1.8310e-03","6.1808e-03","2.9623e-01","7.6794e-01",""
"mean_temperature","-7.2654e-02","3.2193e+00","-2.2568e-02","9.8206e-01",""
