"term","estimate","std_error","t_value","p_value","significance"
"(Intercept)","-5.4298e+01","1.0724e+02","-5.0631e-01","6.1581e-01",""
"history","1.6103e+01","6.7405e+00","2.3889e+00","2.2422e-02","*"
"rbr_w_offset","6.1201e-02","2.9096e-02","2.1034e+00","4.2686e-02","*"
"mean_temperature","8.9368e+00","5.6189e+00","1.5905e+00","1.2071e-01",""
"sum_precipitation_mm","-9.9696e-03","6.4132e-03","-1.5545e+00","1.2906e-01",""
"mean_tri","1.4970e+01","1.0580e+01","1.4150e+00","1.6591e-01",""
"host_pct","-2.5212e-01","2.0993e-01","-1.2010e+00","2.3782e-01",""
