"","Fire_ID","history","rbr","rbr_w_offset","Fire_Year","host_species","total_pixels","host_pct","Average.Recovery","Max_Overlap_Area","Max_Overlap_Percent","fire_area","isi_90","dc_90","dmc_90","ffmc_90","bui_90","fwi_90","recovery","mean_temperature","sum_precipitation_mm","sum_precipitation_m","x","y","median_tri","mean_tri","X","Cumulative_Years_Defol","Time_Since_Defol","window_opp","distance","weights","subclass"
"1","CHA10_2010_1589",1,562.55,532.81,2010,279,364,76.6,104.52,764973.381643113,100,1.092,13.6,133.5,52.1,93.4,52.9,24.7,104.52,20.86,5400.1,5.4,-83.0726319975474,48.567936821171,0.707106781186548,0.66414675729401,928,2,0,"1",0.517369025829441,1,"1"
"2","CHA18_2005_1513",1,606.9,283.7,2005,206,226,91.2,74.98,954810.227397526,100,0.678,8.8,384.4,70.7,90.9,94.2,27.5,74.98,20.65,5181.41,5.18,-82.9194249935863,48.3000851465534,0.5,0.556624494654832,920,2,0,"1",0.157289650497571,1,"2"
"3","CHA29_1995_249",1,504.62,238.17,1995,43381,54481,79.6,118.38,129459435.202267,100,163.443,6.8,483.2,72.2,88.9,102.6,21.3,118.38,20.42,4552.43,4.55,-83.561718646063,48.3049507140434,0.935414346693485,1.25687856870723,860,9,6,"3",0.50322203106705,1,"3"
"4","CHA52_1991_1021",1,273.85,225.15,1991,1786,2786,64.1,226.04,14118341.139901,100,8.358,7.5,479.9,67.1,90.8,95.5,24.8,226.04,20.32,4457.07,4.46,-82.9552899195438,48.2378533634276,0.707106781186548,0.816748900460798,894,13,2,"1",0.384562720906927,1,"4"
"5","CHA7_1992_829",1,275.55,336.29,1992,2428,3018,80.5,225.63,9124349.66486442,100,9.054,8.1,42.9,19.4,92.1,19.9,10.2,225.63,19.94,4535.26,4.54,-83.5514462698279,48.1657252463696,1.06066017177982,1.46220060037386,887,12,3,"2",0.388674039053956,1,"5"
"8","COC10_2005_1519",1,563.52,247.98,2005,1191,1191,100,79.33,5939466.64672292,99.9999999999999,3.573,15.2,86.4,39.7,94.3,40.1,27,79.33,20.14,5322.61,5.32,-81.1450723554035,49.4683827787097,0,0.229210789810124,923,2,0,"1",0.135871742545947,1,"6"
"9","COC12_1992_485",1,281.43,321.73,1992,2103,2103,100,164.52,10102370.2759808,100,6.309,11.5,167.7,53.1,91.3,59.4,28.2,164.52,20.04,5100.96,5.1,-81.8111750882097,49.6900568417455,0.5,0.538591771938648,869,6,11,"4",0.152646378004754,1,"7"
"10","COC14_1992_125",1,515.52,357.42,1992,764,764,100,91.11,1829644.38450324,100,2.292,10.9,195.5,54.1,91.1,58.6,30.4,91.11,20.53,4924.98,4.92,-81.3161844364557,50.4887028215452,0.353553390593274,0.435710127931266,1538,3,13,"4",0.122594502935877,1,"8"
"11","COC14_2006_1606",1,613.04,449.29,2006,265,351,75.5,76.62,701632.223473717,100,1.053,9.1,39.9,13.4,81.9,14.6,8.7,76.62,20.16,5381.39,5.38,-81.011907548866,49.2381137580816,0.612372435695794,0.45037407041001,929,2,0,"1",0.422481791220016,1,"9"
"12","COC15_2001_48",1,615.39,213.99,2001,507,507,100,70.05,3687521.89911338,100,1.521,10.2,169.8,51.9,91.6,57.5,22.5,70.05,19.94,5543.55,5.54,-81.1457318274209,50.1327423311834,0,0.225594934959227,849,2,0,"1",0.0964071497710783,1,"10"
"13","COC19_1997_521",1,595.18,386.32,1997,16532,18681,88.5,97.4,63013988.1454043,100,56.043,11,158.8,63.7,91,65,23.5,97.4,20.24,5396.11,5.4,-80.4649402637194,48.8880843575876,0.612372435695794,0.588409007347535,873,8,8,"3",0.411637637135559,1,"11"
"14","COC23_1995_1273",1,536.92,265.45,1995,44889,44913,99.9,84.98,188940392.373745,100,134.739,7.4,231.5,49,88.4,61.4,18.8,84.98,20.49,5213.33,5.21,-81.2797307208751,50.2539946138938,0.353553390593274,0.363593699219373,905,2,14,"4",0.0840583089343407,1,"12"
"15","COC24_1995_496",1,577.56,308.41,1995,5521,5527,99.9,74.71,19480959.113385,100,16.581,7.3,251.6,54.9,88.8,67.4,18.7,74.71,20.02,5184.6,5.18,-80.9161430628005,49.8172159941799,0.5,0.533239584481663,871,2,14,"4",0.133019642420467,1,"13"
"16","COC34_1997_475",1,637.26,166.47,1997,1823,2128,85.7,80.03,12341739.8821146,100,6.384,10.3,168.3,65.3,89.8,65.7,23.5,80.03,19.78,5695.44,5.7,-79.5268116839338,49.1532363117063,0.5,0.377753440986637,867,2,0,"1",0.382596404566771,1,"14"
"17","COC34_2006_1686",1,625.14,134.21,2006,276,276,100,74.74,433945.489338966,100,0.828,5.7,244.2,22.4,84.9,36,11.5,74.74,20.42,5395.55,5.4,-81.2190540157253,50.5129010904211,0.935414346693485,1.01815164630697,932,2,0,"1",0.169131029482873,1,"15"
"18","COC37_1995_372",1,515.16,291.61,1995,612,613,99.8,86.3,5427417.1850478,100,1.839,10.7,395.7,42.6,89.9,66.9,24.2,86.3,20.5,5284.14,5.28,-81.7651096597987,49.398042872306,0.612372435695794,0.509381668401714,863,9,6,"3",0.112686912633549,1,"16"
"19","COC38_1995_629",1,498.78,322.28,1995,32707,32756,99.9,94.02,58236688.8708414,99.9999999999998,98.268,9.8,482.1,51.5,89.4,80.2,24,94.02,20.56,5203.17,5.2,-81.5634388351299,50.1182286288802,0.612372435695794,0.671053984997931,879,2,14,"4",0.168129233624522,1,"17"
"20","COC8_2006_1649",1,580.7,416.49,2006,782,880,88.9,109.82,2355705.49075031,99.9999999999999,2.64,9.1,37.6,13.3,81.8,14.3,8.7,109.82,19.98,5378.32,5.38,-81.0461924596579,49.3967004618393,0.5,0.47045424946006,930,2,0,"1",0.323062337738867,1,"18"
"21","COC9_2002_100",1,346.07,350.61,2002,1746,1771,98.6,151.33,5579028.64493648,100,5.313,11.2,298.2,59.7,91.6,77.7,27.3,151.33,20.17,5452.98,5.45,-81.326204596097,50.1362867108635,0.612372435695794,0.626043813935922,854,2,0,"1",0.172440123464153,1,"19"
"22","COC9_2006_1654",1,610.89,403.27,2006,542,751,72.2,104.17,1651058.09422405,100,2.253,9,38,13.3,81.9,14.3,8.7,104.17,19.98,5378.32,5.38,-81.0441845366375,49.3695531777988,0.5,0.549451431236581,931,2,0,"1",0.481130587663677,1,"20"
"25","DRY12_1996_1145",1,532.53,231.4,1996,5489,6157,89.2,82.97,19613135.6186356,99.9999999999999,18.471,9.6,218.8,69.3,92.5,74.5,22.3,82.97,20.62,5531.52,5.53,-91.0774706000467,49.2137402013582,0.612372435695794,0.651163781605189,1413,5,2,"1",0.349890978408257,1,"21"
"27","DRY18_1996_839",1,409.57,166.13,1996,2544,2972,85.6,104.98,14562461.0226415,99.9999999999999,8.916,10.8,183.5,69.4,92.7,72.6,25.5,104.98,20.91,5690.94,5.69,-91.9007413107029,49.5485172476986,0.612372435695794,0.718441748845958,1256,12,2,"1",0.418377046908325,1,"22"
"29","DRY24_1996_1466",1,487.15,273.8,1996,10479,13013,80.5,91.15,41434675.2098183,100,39.039,8.9,218.3,66.9,92.5,73.2,22,91.15,20.92,5698.96,5.7,-91.8611440319828,49.6058353037051,0.935414346693485,1.31689339443976,1272,12,2,"1",0.593160554952774,1,"23"
"30","DRY26_1995_1350",1,441.33,318.01,1995,6335,6434,98.5,102.14,17367700.517563,100,19.302,5.5,283,91.8,89.2,96.1,20,102.14,20.62,5548.96,5.55,-91.4315601790553,49.2718241724345,0.612372435695794,0.670238383307211,1572,10,1,"1",0.382247501337125,1,"24"
"31","DRY29_1995_275",1,358.14,222.81,1995,7127,8025,88.8,124.35,24788540.432467,99.9999999999996,24.075,5,277.8,82.5,88.2,90.1,17.9,124.35,20.67,5694.99,5.69,-91.8486928512468,49.7618123041178,0.790569415042095,1.02623355065798,1245,12,1,"1",0.512806683702095,1,"25"
"32","DRY31_1996_1105",1,476.68,186.97,1996,36581,36846,99.3,89,128242748.268087,99.9999999999998,110.538,6.1,218.1,64.2,89.3,70.1,17.7,89,20.56,5207.18,5.21,-90.4019908421727,49.8204401270127,0.612372435695794,0.722876493452715,1404,3,2,"1",0.214723742815945,1,"26"
"33","DRY32_1995_703",1,436.46,158.22,1995,4680,4867,96.2,90.02,17016719.1073888,100,14.601,5.4,271.3,83.1,89.2,89.4,19.1,90.02,20.72,5725.54,5.73,-91.4278853376035,49.8318508491877,0.612372435695794,0.786264644120709,1558,11,1,"1",0.352776618691845,1,"27"
"34","DRY36_1996_957",1,557.49,279.74,1996,7889,9805,80.5,74.32,27686503.0837302,100,29.415,8.6,213.8,67.5,90.2,72.1,22.4,74.32,20.34,5712.74,5.71,-91.5332568380829,49.8638012644606,0.612372435695794,0.761465211258014,1562,12,2,"1",0.45812382956319,1,"28"
"35","DRY57_2003_1410",1,537.5,230.9,2003,2346,2989,78.5,108.45,13256961.9959392,100,8.967,10.5,261.1,59.2,93.3,72.1,26.3,108.45,20.42,5908.46,5.91,-91.2345320047341,49.2289198214547,0.707106781186548,0.861139660467994,1576,2,9,"3",0.339252223253604,1,"29"
"39","FOR137_1995_1337",1,577.1,370.46,1995,4591,5167,88.9,89.64,9627377.70982414,99.9999999999999,15.501,11.5,508.2,64.3,90.7,95.6,31.6,89.64,21.11,5621.36,5.62,-91.3114439230151,48.6446815137678,0.707106781186548,1.11736018215622,43,13,1,"1",0.399564138706282,1,"30"
"41","FOR141_1995_743",1,560.61,302.46,1995,224711,277979,80.8,96.16,473015760.468805,99.9999999999998,833.937,11.2,500.9,60.6,91.7,92,28.1,96.16,20.76,5261.64,5.26,-91.0691798208367,48.3532597249738,1.22474487139159,1.66567824813639,38,12,1,"1",0.644291251264697,1,"31"
"43","FOR14_2005_1514",1,531.16,214.89,2005,2258,2413,93.6,101.47,6733199.89195599,100,7.239,5.6,281.8,34.8,89.1,50,13.6,101.47,21.19,4456.45,4.46,-91.6497557394623,48.2870695398921,1.06066017177982,1.52301439026231,45,6,11,"4",0.294840873655529,1,"32"
"45","FOR173_2006_1618",1,607.41,336.56,2006,1804,1948,92.6,88,3002377.06855204,99.9999999999999,5.844,5.6,364.8,42.6,87.5,63.6,13.7,88,20.98,5556.9,5.56,-91.3026254556317,48.2371619723309,1.11803398874989,1.66865146279919,49,5,12,"4",0.449418967136239,1,"33"
"49","FOR24_2005_1516",1,552.27,310.71,2005,1335,1564,85.4,90.8,2590448.68564948,99.9999999999999,4.692,5.6,295.9,33.6,88.5,51.7,13.8,90.8,21.03,5565.29,5.57,-91.3637238041463,48.1864556522003,1.73205080756888,2.25773091641084,46,6,11,"4",0.607874247861068,1,"34"
"52","FOR42_2011_1834",1,580.93,486.94,2011,1226,1469,83.5,88.16,2239308.34149837,100,4.407,6.3,356.1,31.7,90.2,51.8,14.8,88.16,21.33,5559.86,5.56,-91.4787586787577,48.2239316024344,1.58113883008419,2.34400088132946,56,2,0,"1",0.640750122355346,1,"35"
