Fire_ID,mean_temperature,sum_precipitation_mm,sum_precipitation_m
RED58_1999_677,19.64,5676.33,5.68
RED65_2003_1440,19.68,5241.57,5.24
RED81_1995_964,20.43,5703.76,5.7
RED84_2011_1823,20.73,4989.56,4.99
SLK105_2012_1931,20.41,5611.02,5.61
SLK11_2007_1658,19.79,6262.76,6.26
SLK61_2011_1819,20.66,4969.78,4.97
SLK64_2011_1820,20.48,5032.54,5.03
SLK65_1995_307,20.23,5681.92,5.68
SLK86_1996_1174,20.67,5491.02,5.49
SUD121_1999_1289,20.68,5580.03,5.58
SUD164_1991_676,20.39,4783.33,4.78
SUD165_1991_949,20.39,4783.33,4.78
TEM5_1992_1319,20.0,5120.77,5.12
THU113_2006_1568,20.57,5936.34,5.94
THU130_1991_1263,16.34,2204.95,2.2
THU132_1995_944,20.14,4901.79,4.9
THU133_2006_1688,15.54,5061.31,5.06
THU136_1995_414,20.44,4942.62,4.94
THU13_1999_514,20.1,5229.75,5.23
THU142_2006_1634,20.29,5645.05,5.65
THU143_2006_1642,20.29,5731.11,5.73
THU144_2006_1638,20.21,5717.94,5.72
THU14_1995_308,20.34,5001.57,5.0
THU154_2006_1687,15.1,5641.23,5.64
THU163_2006_1640,20.54,5564.06,5.56
THU167_2006_1653,20.29,5731.11,5.73
THU16_2002_102,20.54,5229.21,5.23
THU184_2006_1647,20.37,5781.16,5.78
THU185_2006_1633,20.36,5597.86,5.6
THU190_2006_1636,19.22,5164.45,5.16
THU232_2006_1690,17.18,5020.9,5.02
THU234_2006_1635,19.22,5164.45,5.16
THU246_2006_1597,20.35,5353.12,5.35
THU31_2005_1510,17.65,5666.79,5.67
THU37_2007_1662,19.95,5610.46,5.61
THU38_1996_675,20.45,4780.26,4.78
THU39_2007_1661,19.93,5101.68,5.1
THU41_1996_553,20.36,5017.41,5.02
THU53_1995_1395,19.45,4764.22,4.76
THU53_1996_593,20.38,5229.07,5.23
THU57_2005_1526,20.29,5486.55,5.49
THU58_1996_127,20.29,5022.78,5.02
THU67_1996_1222,17.94,4888.57,4.89
THU67_2005_1528,20.01,5706.76,5.71
THU71_1996_461,20.36,4892.42,4.89
THU74_1996_1129,18.89,4834.99,4.83
THU76_1996_311,20.51,5136.28,5.14
THU77_1996_1187,20.34,4905.38,4.91
THU84_1996_147,20.29,4950.06,4.95
THU90_1996_1274,20.34,4898.04,4.9
TIM12_1997_1531,20.48,5041.17,5.04
TIM13_2010_1776,21.02,5132.18,5.13
TIM19_2005_1512,20.6,5179.73,5.18
TIM24_1997_121,20.85,5120.57,5.12
TIM27_2012_1921,20.8,5405.04,5.41
TIM2_1997_488,20.74,5083.99,5.08
TIM3_2007_1585,20.22,5423.55,5.42
TIM56_2005_1529,20.8,5203.18,5.2
TIM5_1996_563,20.7,4722.58,4.72
TIM5_2005_1517,20.68,5203.16,5.2
TIM7_2005_1515,20.81,5165.87,5.17
TIM7_2010_1774,20.89,5337.09,5.34
TIM7_2012_1898,20.94,5316.81,5.32
TIM9_2012_1852,20.78,5363.71,5.36
WAW12_2011_1749,20.01,4871.12,4.87
WAW13_2003_1409,20.09,5217.74,5.22
WAW17_2012_1934,19.5,5431.58,5.43
WAW18_2010_1775,19.94,5475.07,5.48
WAW21_2003_1406,20.41,4944.2,4.94
WAW23_2003_1503,20.29,5312.73,5.31
WAW31_1995_650,20.03,5037.54,5.04
WAW69_1995_946,20.3,4976.74,4.98
WAW86_1995_724,20.08,4792.16,4.79
WAW87_1995_1025,20.35,4706.47,4.71
