,Fire_ID,Average Recovery
196,SIO86_1989_197,80.19
197,FOR11_2003_1420,114.04
198,RED22_1987_1346,103.02
199,SLK46_2011_1694,86.49
200,GER13_1992_1293,83.27
201,NIP53_2018_2122,80.04
202,GER44_1990_229,75.31
203,GER25_1991_791,66.0
204,RED93_2011_1738,38.07
205,GER39_1990_151,73.71
206,SLK55_2015_1963,72.04
207,RED82_2003_1498,110.8
208,RED231_1988_1384,51.26
209,SLK79_1998_1357,76.5
210,SLK102_1998_603,64.01
211,SIO23_1992_401,83.7
212,SLK36_2015_1985,78.64
213,SIO98_1988_998,84.76
214,RED37_2019_2185,78.1
215,RED58_2012_1922,71.43
216,THU35_1996_1371,59.19
217,TIM6_2018_2045,56.83
218,RED214_1988_982,77.74
219,RED51_2012_1908,60.59
220,SLK37_2019_2175,52.85
221,SLK56_2018_2118,74.58
222,SLK20_1999_573,51.97
223,RED46_1987_416,88.22
224,SLK16_1999_744,92.15
225,GER30_1989_511,76.84
226,PET1_2001_50,94.67
227,GER13_1986_576,65.7
228,NIP99_1999_508,82.66
229,RED5_1986_368,80.15
230,RED21_1995_1324,66.6
231,NIP19_2013_1876,79.47
232,NIP72_2001_68,71.82
233,SIO106_1989_507,74.4
234,COC11_2020_2212,65.7
235,NIP122_1998_654,96.14
236,RED66_2011_1723,43.67
237,SLK80_2003_1547,73.38
238,FOR13_1987_316,101.03
239,RED15_1991_1027,77.45
240,RED309_1988_753,79.51
241,RED27_1988_1051,86.29
242,RED27_2011_1701,53.18
243,SLK54_2002_179,86.38
244,COC53_1996_544,103.04
245,SLK101_2012_1840,97.5
246,NIP53_2013_1872,77.81
247,SLK53_1996_826,73.3
248,COC19_2002_74,72.95
249,SIO143_1989_564,57.6
250,NIP32_2015_1973,68.69
251,RED71_2012_1918,33.41
252,RED75_2019_2192,56.53
253,SLK74_1995_1304,83.87
254,SLK110_1998_331,104.84
255,SLK102_2017_1956,50.92
256,NIP66_1996_970,81.57
257,SLK41_2019_2183,54.54
258,NIP47_2011_1698,161.08
259,SLK55_1995_404,73.16
260,SLK10_1996_892,90.52
261,RED28_1996_846,70.25
262,SLK3_2002_52,71.39
263,SLK99_1996_1253,90.2
264,SIO118_1989_864,76.25
265,RED123_2011_1790,6.06
266,SLK70_2002_166,66.62
267,SIO64_1989_1120,91.39
268,RED120_1988_1272,89.14
269,SLK97_2012_1910,87.95
270,THU24_1992_633,65.99
271,GER27_1988_1382,80.21
272,RED69_1989_709,82.84
273,SIO54_1991_618,95.2
274,SLK48_1995_723,93.09
275,THU23_1992_254,64.41
276,SLK79_2012_1927,85.76
277,KEN77_2018_2140,74.69
278,NIP37_2017_1945,95.38
279,RED19_1988_341,74.87
280,TIM2_2019_2173,85.72
281,RED62_1995_351,68.36
282,RED33_1989_733,93.18
283,SLK25_2009_1726,71.65
284,SLK161_1998_299,73.03
285,COC16_1992_1239,90.05
286,RED26_2011_1806,66.22
287,SIO109_1988_304,73.63
288,SLK5_2002_12,103.57
289,RED16_1990_796,63.04
290,NIP40_2011_1791,91.05
291,RED16_2006_1679,97.63
292,NIP165_1998_274,90.24
293,THU36_1996_1313,60.43
294,SLK200_2017_2026,39.73
295,SIO10_1989_285,88.89
296,SLK52_2017_2110,55.01
297,CHA3_2020_2213,57.26
298,RED26_1998_1443,78.78
299,RED93_2003_1545,73.44
300,SIO16_1989_930,103.18
301,RED14_1996_764,49.32
302,RED284_1988_1119,103.23
303,SIO178_1989_81,75.7
304,NIP40_1999_860,87.61
305,SLK23_2013_1885,78.6
306,NIP83_1996_805,72.26
307,SLK132_2011_1740,69.3
308,NIP46_2020_2203,52.56
309,SLK24_2009_1727,68.04
310,SLK51_2018_2046,83.71
311,RED14_1990_966,60.32
312,RED96_2018_2116,50.77
313,RED41_1994_116,73.62
314,RED46_1989_672,79.94
315,NIP40_2007_1564,109.26
316,KEN71_2018_2063,60.0
317,SLK5_2014_1938,154.49
318,SIO164_1989_269,112.08
319,NIP104_2005_1536,97.81
320,RED68_1989_585,99.05
321,SLK42_2017_1949,63.24
322,SIO208_1988_1287,71.97
323,RED97_2018_2064,65.78
324,NIP9_2017_2090,73.03
325,RED62_2019_2193,4.74
326,SIO18_1993_657,81.82
327,NIP20_2006_1582,95.35
328,RED17_2014_2020,31.29
329,THU38_2008_1668,105.22
330,RED221_1988_1170,91.6
331,RED77_1995_1467,72.98
332,RED114_2011_1778,22.78
333,SLK44_2006_1593,92.37
334,NIP14_2009_1714,76.82
335,RED64_1989_838,67.29
336,SLK15_1994_963,74.83
337,SLK1_2003_1453,100.85
338,NIP24_2000_23,154.72
339,NIP23_2015_1979,41.69
340,RED81_2018_2127,56.75
341,SLK31_1999_1137,72.48
342,GER46_1990_513,77.86
343,GER37_1990_321,42.32
344,KEN1_2016_2008,109.04
345,NIP51_2002_94,82.17
346,SLK37_2020_2160,99.19
347,SIO125_1988_1015,64.99
348,SLK82_2012_1857,76.78
349,RED49_2020_2210,64.86
350,FOR79_1987_542,102.36
351,NIP45_2010_1752,79.47
352,RED58_1998_830,70.34
353,RED22_1991_263,85.57
354,SLK93_2012_1928,108.14
355,RED19_1995_1020,81.01
356,NIP13_2009_1713,72.58
357,SIO162_1989_1054,88.54
358,SLK85_2011_1781,91.71
359,SLK66_2003_1432,88.08
360,NIP146_1998_126,63.88
361,SLK5_2001_38,66.31
362,RED91_2011_1702,71.72
363,THU42_1995_501,66.22
364,RED121_2018_2158,44.26
365,SLK73_1999_556,78.26
366,THU36_2018_2051,62.1
367,RED57_2002_163,69.91
368,NIP123_1998_528,83.85
369,RED32_2011_1789,70.68
370,FOR1_2004_1507,130.15
371,NIP20_2018_2146,92.38
372,SLK78_2018_2120,73.83
373,RED46_1990_364,102.86
374,RED183_2006_1627,26.11
375,GER39_1992_989,75.46
376,RED51_2011_1670,61.32
377,RED106_2011_1803,35.11
378,RED43_1989_1393,52.12
379,RED84_1995_1024,77.87
380,SLK78_1995_1370,108.15
381,NIP48_2002_180,95.28
382,THU80_2011_1830,102.89
383,RED69_2017_2092,102.87
384,GER35_1990_1004,69.95
385,THU33_2011_1829,130.84
386,SLK19_2002_172,56.95
387,MOO15_1991_836,76.2
388,SLK53_2015_1969,81.95
389,RED118_2011_1780,79.1
390,SIO9_1989_1392,76.0
391,COC28_1996_322,118.69
392,RED34_2006_1685,72.96
393,THU102_1996_1138,73.38
394,SLK22_2009_1704,77.17
395,NIP15_1989_384,53.64
396,RED63_2002_171,72.51
397,SLK21_2013_1890,96.42
398,NIP26_2020_2207,55.29
399,NIP62_1994_758,73.33
400,NIP52_2001_3,77.84
401,SLK48_2006_1681,46.83
402,NIP33_1995_917,82.01
403,NOR46_2018_2069,67.74
404,SLK74_1999_1167,79.0
405,RED54_1989_509,84.97
406,SLK57_2003_1479,78.68
407,FOR78_1987_279,105.74
408,RED14_2006_1594,65.21
409,SIO25_1992_1271,66.73
410,SLK70_1995_237,76.89
411,RED163_2006_1625,52.37
412,SIO27_1987_1362,70.44
413,SLK105_1998_840,92.28
414,SLK11_2002_54,88.37
415,NIP10_2018_2066,57.59
416,SLK76_1998_987,99.94
417,RED22_2020_2195,80.83
418,NIP30_2015_1990,69.73
419,RED36_1988_1333,85.77
420,NIP37_2018_2034,75.67
421,RED9_2020_2216,66.78
422,RED52_2012_1902,81.09
423,SUD83_2018_2125,85.95
424,RED61_2012_1843,114.41
425,SLK84_1996_148,66.65
426,NIP29_2018_2055,83.13
427,SLK3_2001_39,57.97
428,GER65_1989_708,81.72
429,SLK50_2001_71,80.83
430,GER50_1991_1134,77.48
431,RED74_1995_590,82.3
432,RED38_2002_186,70.38
433,NIP38_2015_1995,72.47
434,RED17_2019_2178,70.54
435,NIP75_1995_140,74.86
436,NIP48_2013_1860,74.3
437,NIP29_2017_2078,62.8
438,RED109_2018_2155,57.27
439,GER41_1988_1448,73.71
440,FOR1_2017_1943,131.92
441,SLK60_1995_931,89.14
442,NIP8_1992_1093,64.11
443,RED30_2019_2182,61.14
444,SLK36_1999_369,83.56
445,RED91_2003_1438,69.27
446,SLK25_2005_1535,55.67
447,FOR1_1993_470,88.87
448,RED324_1988_547,90.19
449,RED182_2006_1626,73.57
450,PET5_1998_1317,106.32
451,SIO16_1989_224,68.16
452,NIP44_2000_29,120.07
453,SLK37_2018_2058,59.84
454,RED7_2015_1998,103.99
455,PEM6_2018_2137,77.41
456,RED338_1988_610,153.04
457,NIP47_2020_2196,46.63
458,RED29_1993_406,59.04
459,FOR1_2000_59,102.01
460,NOR68_2018_2028,78.82
461,SLK55_2003_1417,110.97
462,SLK36_2002_56,92.5
463,NIP127_1998_540,106.04
464,SLK7_2017_2099,82.35
465,GER94_1989_228,64.64
466,SLK30_2016_2016,62.46
467,RED73_2011_1801,76.37
468,RED40_1989_928,77.62
469,SIO71_1989_205,59.08
470,SLK68_2018_2065,59.41
