Fire_ID,mean_temperature,sum_precipitation_mm,sum_precipitation_m
NIP104_2005_1536,20.0,4901.54,4.9
NIP104_2012_1761,20.29,5029.08,5.03
NIP109_1996_231,19.0,4514.33,4.51
NIP10_2009_1717,19.27,4980.64,4.98
NIP110_1996_1377,19.4,4441.71,4.44
NIP110_1998_914,19.47,4757.54,4.76
NIP112_2005_1518,19.89,5106.33,5.11
NIP118_1998_1372,19.36,4830.19,4.83
NIP120_1998_665,18.81,4701.9,4.7
NIP121_1998_602,18.76,4542.86,4.54
NIP122_1998_654,18.76,4542.86,4.54
NIP123_1998_528,18.86,4516.26,4.52
NIP124_1998_996,18.66,4599.53,4.6
NIP125_1998_256,18.71,4617.97,4.62
NIP126_1998_844,18.66,4869.54,4.87
NIP127_1998_540,18.48,4697.13,4.7
NIP12_2009_1718,20.08,4705.62,4.71
NIP136_1995_1299,20.37,4620.49,4.62
NIP138_1998_82,19.15,4898.88,4.9
NIP13_1996_1030,19.08,4538.84,4.54
NIP13_2009_1713,19.06,4727.39,4.73
NIP144_1998_721,19.23,4955.15,4.96
NIP146_1998_126,19.7,5115.28,5.12
NIP14_1996_1032,19.31,4920.83,4.92
NIP14_2009_1714,19.0,4717.48,4.72
NIP156_1998_1276,18.9,4629.15,4.63
NIP15_1989_384,20.71,4877.58,4.88
NIP163_1998_625,19.58,5090.08,5.09
NIP164_1998_1080,19.53,5095.74,5.1
NIP165_1998_274,19.78,5129.57,5.13
NIP189_2006_1580,19.28,4995.25,5.0
NIP18_1995_145,19.03,4828.39,4.83
NIP18_1999_357,19.66,5501.14,5.5
NIP19_1996_458,19.01,4600.46,4.6
NIP19_2000_22,19.11,4599.46,4.6
NIP19_2009_1711,18.61,4609.62,4.61
NIP201_1998_894,18.8,4581.2,4.58
NIP20_2006_1582,19.67,5072.88,5.07
NIP20_2009_1710,18.56,4617.5,4.62
NIP21_2009_1709,17.88,4546.51,4.55
NIP22_1995_543,18.73,4837.21,4.84
NIP22_1996_474,19.96,4988.2,4.99
NIP22_2001_46,20.17,4879.76,4.88
NIP23_2009_1708,18.88,4501.22,4.5
NIP24_2000_23,18.93,4844.74,4.84
NIP24_2012_1838,19.97,4910.86,4.91
NIP25_2000_26,19.43,4839.61,4.84
NIP26_1994_695,19.28,4896.78,4.9
NIP26_2000_21,18.75,4653.65,4.65
NIP26_2001_47,20.0,4796.07,4.8
NIP27_2010_1734,19.93,4521.31,4.52
NIP30_1999_353,19.57,5281.83,5.28
NIP32_1999_1075,18.85,5222.17,5.22
NIP32_2002_188,18.52,4797.98,4.8
NIP32_2012_1929,20.34,4761.35,4.76
NIP33_1995_917,19.33,4951.72,4.95
NIP34_2011_1696,19.01,4575.35,4.58
NIP35_1995_1305,19.61,5012.21,5.01
NIP35_2001_5,19.72,4949.94,4.95
NIP37_1996_565,19.99,4810.98,4.81
NIP38_2002_97,20.66,5191.88,5.19
NIP39_2001_2,18.91,4960.46,4.96
NIP40_1999_860,18.84,4434.28,4.43
NIP40_2001_4,19.31,4871.0,4.87
NIP40_2007_1564,20.11,5161.06,5.16
NIP40_2011_1791,20.07,4895.43,4.9
NIP41_2010_1731,19.69,4705.71,4.71
