Fire_ID,mean_temperature,sum_precipitation_mm,sum_precipitation_m
SIO26_1992_606,19.29,5177.23,5.18
SIO27_1987_1362,20.18,4973.95,4.97
SIO28_1991_242,19.3,4886.1,4.89
SIO30_1989_1127,19.89,4604.43,4.6
SIO30_1991_693,18.86,4798.5,4.8
SIO30_1992_1041,19.79,4831.43,4.83
SIO31_1993_596,18.71,5092.07,5.09
SIO33_1989_592,19.97,4664.28,4.66
SIO34_1991_1048,19.53,5018.21,5.02
SIO37_1993_991,19.48,5148.86,5.15
SIO39_1993_510,19.97,5341.1,5.34
SIO41_1993_717,20.05,5349.17,5.35
SIO42_1986_1188,19.39,4185.32,4.19
SIO44_1990_1124,19.93,4694.88,4.69
SIO44_1993_500,19.95,5349.71,5.35
SIO45_1986_1175,19.26,4266.38,4.27
SIO45_1993_265,19.81,5361.24,5.36
SIO47_1990_1164,19.16,4622.06,4.62
SIO48_1993_588,19.81,5361.24,5.36
SIO49_1987_149,17.31,4926.99,4.93
SIO49_1990_255,19.95,4952.9,4.95
SIO4_1989_515,20.34,4525.57,4.53
SIO54_1991_618,18.68,4459.73,4.46
SIO64_1987_568,19.07,4118.47,4.12
SIO64_1989_1120,18.65,4348.52,4.35
SIO66_1988_1302,19.65,4599.54,4.6
SIO67_1989_244,18.87,4402.41,4.4
SIO68_1989_1262,18.9,4232.56,4.23
SIO70_1990_466,20.01,4724.44,4.72
SIO71_1988_343,20.41,4686.28,4.69
SIO71_1989_205,18.8,4093.05,4.09
SIO72_1991_699,19.36,4922.15,4.92
SIO7_1989_1125,18.91,4080.13,4.08
SIO80_1989_1014,19.74,4521.16,4.52
SIO80_1991_595,19.88,4798.25,4.8
SIO82_1990_1343,19.88,4608.24,4.61
SIO83_1991_1447,19.65,5108.25,5.11
SIO86_1989_197,18.92,4112.4,4.11
SIO86_1990_750,19.91,4600.2,4.6
SIO87_1989_619,19.74,4451.73,4.45
SIO8_1989_518,18.97,4010.29,4.01
SIO91_1986_1158,19.11,3900.01,3.9
SIO91_1989_668,19.42,4529.76,4.53
SIO92_1991_1215,19.83,4866.07,4.87
SIO94_1991_551,19.16,5064.72,5.06
SIO95_1989_1229,19.67,4727.61,4.73
SIO96_1991_659,19.73,4973.0,4.97
SIO97_1989_248,20.02,4590.03,4.59
SIO98_1988_998,19.39,4393.14,4.39
SIO9_1989_1392,19.04,4005.99,4.01
SLK100_1998_1376,19.83,5363.33,5.36
SLK101_2003_1480,18.83,4573.52,4.57
SLK101_2011_1737,20.34,5069.71,5.07
SLK101_2012_1840,20.0,5218.69,5.22
SLK102_1998_603,18.67,4809.71,4.81
SLK103_1994_623,19.73,5295.99,5.3
SLK103_2011_1736,20.45,5048.88,5.05
SLK104_1995_924,18.45,4815.58,4.82
SLK104_1998_1016,18.9,4863.08,4.86
SLK105_1998_840,18.36,5328.09,5.33
SLK106_1998_207,18.32,5265.3,5.27
SLK107_1994_882,19.9,5117.77,5.12
SLK108_1994_333,19.93,5112.37,5.11
SLK109_1998_1005,19.74,5061.94,5.06
SLK10_1996_892,20.27,5131.9,5.13
SLK10_2009_1706,18.45,4637.47,4.64
SLK110_1998_331,19.82,5182.61,5.18
SLK111_1998_800,18.61,4737.58,4.74
SLK118_2006_1590,18.81,4480.57,4.48
SLK11_2002_54,18.03,5171.64,5.17
SLK120_1994_122,18.8,4396.91,4.4
SLK120_1998_1148,18.88,4828.99,4.83
SLK121_1996_1212,18.99,4537.84,4.54
SLK121_1998_375,18.53,4645.23,4.65
SLK122_1998_362,18.92,4891.11,4.89
SLK124_1998_327,18.84,4949.63,4.95
SLK127_1998_287,19.32,5315.65,5.32
SLK128_1995_1182,18.45,4815.58,4.82
SLK128_1998_450,18.71,4640.28,4.64
SLK129_1998_666,18.91,4940.12,4.94
SLK12_2002_55,17.85,4936.57,4.94
SLK130_1996_788,19.4,5009.06,5.01
SLK132_2011_1740,20.61,5171.57,5.17
SLK137_1998_402,19.65,5392.2,5.39
SLK13_2000_20,18.83,4673.15,4.67
SLK13_2009_1707,18.9,4403.73,4.4
SLK140_1998_86,18.47,4518.01,4.52
SLK144_1998_687,19.34,5260.29,5.26
SLK146_1998_1113,19.65,5392.2,5.39
SLK147_2011_1700,20.57,5116.1,5.12
SLK14_1995_425,19.07,5076.01,5.08
SLK15_1994_963,19.86,5073.19,5.07
SLK161_1998_299,19.95,5280.73,5.28
SLK16_1999_744,18.34,4367.98,4.37
SLK16_2000_28,19.19,5355.52,5.36
SLK17_1994_617,20.08,5286.4,5.29
SLK17_1999_1207,19.71,5544.85,5.54
SLK17_2002_193,20.1,5435.08,5.44
SLK17_2009_1705,19.3,4179.84,4.18
SLK18_1995_162,19.27,5176.02,5.18
SLK18_2000_24,19.03,5136.31,5.14
SLK19_2002_172,19.8,5232.21,5.23
SLK1_2001_63,18.81,4334.79,4.33
SLK1_2002_16,19.15,4022.12,4.02
SLK1_2003_1453,18.83,4254.78,4.25
SLK20_1995_731,19.72,5309.51,5.31
SLK20_1999_573,19.83,5654.29,5.65
SLK20_2003_1434,19.87,6140.37,6.14
SLK20_2012_1919,20.19,5129.04,5.13
SLK21_2002_177,18.53,4446.99,4.45
SLK22_2009_1704,19.34,4300.76,4.3
SLK23_2009_1712,19.8,4860.59,4.86
SLK24_2001_43,19.35,5155.43,5.16
SLK24_2009_1727,19.87,5429.72,5.43
SLK25_2002_19,18.84,4233.19,4.23
SLK25_2005_1535,19.72,5127.85,5.13
SLK25_2009_1726,19.98,5284.97,5.28
SLK26_2009_1715,19.8,5184.71,5.18
SLK26_2012_1765,19.58,4845.6,4.85
SLK27_1996_707,18.64,5350.83,5.35
SLK29_2008_1667,19.35,4505.56,4.51
SLK29_2012_1855,19.95,4979.83,4.98
SLK2_2002_51,18.97,4047.88,4.05
SLK30_2002_184,18.89,4451.14,4.45
SLK30_2006_1581,19.82,5226.06,5.23
SLK31_1999_1137,18.98,5320.02,5.32
SLK31_2002_89,19.22,4452.62,4.45
SLK32_1995_1462,19.75,5307.16,5.31
SLK32_2002_183,19.41,4438.28,4.44
SLK32_2012_1850,19.98,5129.97,5.13
SLK33_1996_1070,19.6,5342.81,5.34
SLK33_1999_1282,19.56,5696.57,5.7
SLK34_1995_1322,19.66,5287.45,5.29
SLK34_1999_1109,19.51,5509.37,5.51
SLK34_2008_1666,20.1,5427.63,5.43
SLK35_1994_1303,19.26,4509.53,4.51
SLK35_1995_1341,19.09,5281.74,5.28
SLK35_1999_1199,19.45,5480.8,5.48
SLK35_2011_1821,20.69,5043.05,5.04
SLK36_1995_1256,19.07,5170.19,5.17
SLK36_1999_369,19.16,5380.81,5.38
SLK36_2002_56,18.84,4442.69,4.44
SLK37_1995_702,19.21,5079.47,5.08
SLK37_1999_1203,19.16,5380.81,5.38
SLK38_1999_1310,19.52,5658.73,5.66
SLK38_2006_1674,19.18,4657.37,4.66
SLK38_2011_1798,19.67,4858.68,4.86
SLK39_1994_1269,18.97,4324.28,4.32
SLK39_1995_389,19.18,5109.72,5.11
SLK3_2001_39,18.62,4343.28,4.34
SLK3_2002_52,18.97,4047.88,4.05
SLK40_1999_601,19.51,5346.33,5.35
SLK40_2005_1534,19.47,4736.96,4.74
SLK40_2006_1672,19.23,4544.61,4.54
SLK40_2011_1693,19.27,4317.7,4.32
SLK41_1999_1071,19.38,5508.25,5.51
SLK42_2006_1675,18.93,4723.91,4.72
SLK44_1995_1367,19.18,5474.74,5.47
SLK44_2001_67,18.76,4256.51,4.26
SLK44_2003_1482,18.94,4729.35,4.73
SLK44_2006_1593,18.28,4680.43,4.68
SLK45_2001_44,19.77,5394.21,5.39
SLK45_2006_1599,18.48,4441.11,4.44
SLK45_2011_1695,18.99,4275.13,4.28
SLK46_1996_506,19.84,5225.99,5.23
SLK46_2011_1694,19.29,4332.62,4.33
SLK47_1995_323,19.28,5177.58,5.18
SLK47_1996_358,19.72,5287.27,5.29
SLK47_2001_69,18.65,4601.01,4.6
SLK47_2002_73,20.37,5746.51,5.75
SLK47_2011_1788,20.23,5062.42,5.06
SLK47_2012_1932,20.48,5241.56,5.24
SLK48_1995_723,19.6,5289.15,5.29
SLK48_2006_1681,19.46,5062.81,5.06
SLK48_2011_1785,19.61,4787.69,4.79
SLK49_1994_538,19.24,4779.8,4.78
SLK49_2010_1730,20.18,4965.11,4.97
SLK4_2001_64,18.87,4213.21,4.21
SLK4_2002_17,19.05,4273.47,4.27
SLK4_2003_1401,18.81,4224.06,4.22
SLK50_1995_1131,19.43,5544.29,5.54
SLK50_2001_71,19.36,5122.45,5.12
SLK50_2011_1805,19.84,4939.98,4.94
SLK51_1995_638,18.93,4410.2,4.41
SLK51_1996_772,19.46,5375.93,5.38
SLK51_2003_1403,19.72,5193.21,5.19
SLK51_2011_1808,19.96,4921.98,4.92
SLK52_1995_354,19.11,5012.02,5.01
SLK52_1996_694,19.2,5455.07,5.46
SLK53_1996_826,19.22,5359.82,5.36
SLK54_1995_1132,19.08,4859.44,4.86
SLK54_1996_1251,19.03,4878.95,4.88
SLK54_1999_1365,17.9,4734.12,4.73
SLK54_2002_179,19.13,4401.79,4.4
SLK55_1995_404,18.96,4840.13,4.84
SLK55_1996_156,18.65,5357.31,5.36
SLK55_2003_1417,19.69,5131.73,5.13
SLK55_2011_1741,20.54,5127.22,5.13
SLK56_1995_779,19.44,5186.41,5.19
SLK57_2003_1479,19.63,5508.24,5.51
SLK57_2011_1739,20.58,5129.89,5.13
SLK58_1994_132,19.21,4962.72,4.96
SLK58_1995_394,19.23,5008.26,5.01
SLK58_2003_1412,19.78,5448.59,5.45
SLK59_1995_841,19.2,5030.62,5.03
SLK5_2001_38,18.98,4161.05,4.16
SLK5_2002_12,19.09,4139.35,4.14
SLK60_1995_931,18.94,4524.49,4.52
SLK60_1996_884,19.92,5350.11,5.35
SLK60_2011_1815,20.34,5061.81,5.06
SLK61_1995_306,19.03,4461.77,4.46
SLK61_1998_960,18.75,4854.11,4.85
SLK62_1995_504,18.98,4804.25,4.8
SLK63_1996_428,19.92,5350.11,5.35
SLK63_1998_337,18.36,4629.9,4.63
SLK63_2010_1729,19.25,4344.52,4.34
SLK64_1998_1067,18.36,4629.9,4.63
SLK64_2010_1733,19.29,4375.73,4.38
SLK65_2003_1488,18.39,4526.64,4.53
SLK65_2010_1732,19.37,4350.5,4.35
SLK65_2011_1822,20.46,5135.05,5.14
SLK66_1996_1275,20.11,5368.45,5.37
SLK66_2003_1432,18.74,4345.13,4.35
SLK68_1994_490,19.4,5127.18,5.13
SLK68_1998_1001,18.61,4603.13,4.6
SLK68_2002_178,18.85,4351.1,4.35
SLK69_1995_1451,18.63,4909.17,4.91
SLK69_1996_352,20.09,5254.6,5.25
SLK69_1998_1475,18.44,4649.11,4.65
SLK6_2000_27,19.19,5311.94,5.31
SLK6_2001_37,18.93,4160.06,4.16
SLK6_2002_13,19.15,4113.76,4.11
SLK70_1995_237,20.1,5252.87,5.25
SLK70_1996_1083,20.41,5392.4,5.39
SLK70_1998_539,19.02,4905.77,4.91
SLK70_2002_166,19.4,4647.12,4.65
SLK70_2003_1431,18.68,4486.64,4.49
SLK70_2011_1807,19.91,4841.26,4.84
SLK71_1996_1142,20.16,5144.28,5.14
SLK71_2003_1538,18.81,4296.31,4.3
SLK71_2011_1745,20.55,5069.93,5.07
SLK71_2012_1914,20.11,5240.86,5.24
SLK72_1995_1077,19.98,5019.17,5.02
SLK72_2012_1766,20.19,5214.86,5.21
SLK73_1995_597,19.51,5117.23,5.12
SLK73_1999_556,18.75,5046.68,5.05
SLK73_2012_1759,19.78,5074.79,5.07
SLK74_1995_1304,19.69,5558.47,5.56
SLK74_1996_261,19.85,5291.17,5.29
SLK74_1998_682,19.26,4749.64,4.75
SLK74_1999_1167,19.62,5659.65,5.66
SLK74_2012_1851,19.8,5104.44,5.1
SLK75_1996_1326,20.13,5001.73,5.0
SLK75_1998_124,18.59,4630.34,4.63
SLK75_2011_1699,19.76,5068.49,5.07
SLK76_1995_567,19.02,4751.35,4.75
SLK76_1998_987,19.41,5231.51,5.23
SLK76_2011_1810,20.37,5065.36,5.07
SLK77_1995_1176,19.12,4720.7,4.72
SLK78_1995_1370,19.03,4704.16,4.7
SLK78_1998_477,19.45,5184.79,5.18
SLK79_1998_1357,18.92,4789.25,4.79
SLK79_2011_1697,19.45,4789.67,4.79
SLK79_2012_1927,18.96,4381.47,4.38
SLK7_2002_14,18.74,4172.34,4.17
SLK80_1999_1544,18.12,4896.78,4.9
SLK80_2003_1547,19.64,5224.68,5.22
SLK81_1995_1042,19.7,5520.59,5.52
SLK81_1996_1087,19.91,5240.0,5.24
SLK81_2012_1915,20.09,5030.85,5.03
SLK82_1998_1135,18.97,5352.75,5.35
SLK82_1999_992,18.38,4690.43,4.69
SLK82_2011_1824,20.53,4970.52,4.97
SLK82_2012_1857,19.83,5077.4,5.08
SLK84_1996_148,20.15,5150.65,5.15
SLK84_2011_1669,20.09,4845.04,4.85
SLK85_1996_338,20.06,4981.99,4.98
SLK85_2011_1781,19.32,4726.15,4.73
SLK85_2012_1760,19.49,4816.01,4.82
SLK86_1995_454,20.04,4815.46,4.82
SLK87_2011_1782,18.85,4717.38,4.72
SLK88_1996_656,19.33,5113.77,5.11
SLK88_2011_1786,19.49,4527.97,4.53
SLK8_2002_18,18.54,4117.18,4.12
SLK90_1995_344,19.39,5293.71,5.29
SLK91_1996_1162,20.2,4927.04,4.93
SLK91_2012_1846,20.26,5150.57,5.15
SLK93_2012_1928,20.13,5148.09,5.15
SLK94_2003_1494,18.86,4142.84,4.14
SLK95_1996_646,20.19,5144.77,5.14
SLK95_2011_1817,20.54,5133.35,5.13
SLK97_2006_1591,20.05,6234.88,6.23
SLK97_2012_1910,20.4,5082.23,5.08
SLK99_1996_1253,16.94,6332.01,6.33
THU102_1996_1138,20.1,4913.67,4.91
THU105_1996_736,20.14,4965.73,4.97
THU122_1998_1306,19.71,5208.92,5.21
THU21_2009_1719,20.39,5318.34,5.32
THU22_2011_1831,20.48,5269.12,5.27
THU23_1992_254,19.79,5017.8,5.02
THU24_1992_633,19.79,5017.8,5.02
THU30_2005_1525,19.63,5079.22,5.08
THU33_2011_1829,19.81,4730.97,4.73
THU35_1996_1371,20.15,4825.65,4.83
THU35_2012_1858,20.48,5241.56,5.24
THU36_1996_1313,19.84,4756.49,4.76
THU38_2008_1668,20.3,5239.17,5.24
THU39_1996_866,19.56,4803.75,4.8
THU40_1996_234,20.05,4776.02,4.78
THU42_1995_501,20.19,5109.46,5.11
THU42_1996_282,20.55,4864.75,4.86
THU45_1995_692,20.35,4976.18,4.98
THU49_1996_1128,20.43,4995.28,5.0
THU50_2011_1826,20.93,4969.26,4.97
THU51_1996_1066,20.06,5107.26,5.11
THU51_2011_1828,20.46,4898.99,4.9
THU52_1996_1307,20.25,4969.87,4.97
THU54_1995_1157,19.89,4657.72,4.66
THU57_2011_1746,20.36,4880.85,4.88
THU58_2011_1825,20.68,5065.21,5.07
THU59_1995_972,19.99,4852.43,4.85
THU65_1996_453,19.9,4754.32,4.75
THU65_1998_754,20.19,5195.03,5.2
THU65_2005_1527,20.26,5257.2,5.26
THU65_2012_1859,20.92,4959.25,4.96
THU66_2003_1537,20.05,5379.02,5.38
THU67_1998_478,20.04,5161.38,5.16
THU79_1995_1183,20.29,5131.46,5.13
THU80_2011_1830,20.77,5125.14,5.13
THU83_1996_292,19.83,4641.72,4.64
THU86_1996_1314,19.92,4677.72,4.68
THU89_1996_447,20.29,5117.79,5.12
THU95_1996_962,20.2,4983.58,4.98
